current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
97.84615	0.0	0.0	-0.101	99			6980.3681961
97.84615	0.0	0.0	0.498	99			6980.7326588
97.84615	0.0	0.0	0.189	99			6980.7486642
97.84615	0.0	0.0	0.237	99			6980.7669009
97.84615	0.0	0.0	0.296	99			6980.7895283
97.84615	0.0	0.0	-0.239	99			6980.8088891
97.75824	0.0	0.0	0.388	99			6980.8290202
97.84615	0.0	0.0	0.376	99			6980.8466037
97.84615	0.0	0.0	-0.169	99			6980.8669667
97.84615	0.0	0.0	-0.355	99			6980.8866438
97.84615	0.0	0.0	-0.344	99			6980.9098752
97.84615	0.0	0.0	-0.311	99			6980.9267806
97.84615	0.0	0.0	-0.056	99			6980.9467972
97.84615	0.0	0.0	-0.031	99			6980.9665629
97.84615	0.0	0.0	0.353	99			6980.9869994
97.84615	0.0	0.0	-0.1	99			6981.0092871
97.84615	0.0	0.0	0.164	99			6981.0282236
97.75824	0.0	0.0	-0.404	99			6981.0474583
97.84615	0.0	0.0	-0.116	99			6981.0671455
97.84615	0.0	0.0	0.118	99			6981.0868624
97.84615	0.0	0.0	-0.172	99			6981.1105593
97.84615	0.0	0.0	-0.392	99			6981.1274491
97.75824	0.0	0.0	0.356	99			6981.1466986
97.84615	0.0	0.0	0.238	99			6981.1663587
97.75824	0.0	0.0	-0.463	99			6981.1867346
97.84615	0.0	0.0	0.198	99			6981.2086545
97.84615	0.0	0.0	-0.36	99			6981.2266404
97.75824	0.0	0.0	-0.002	99			6981.2468203
97.84615	0.0	0.0	-0.458	99			6981.2666581
97.84615	0.0	0.0	-0.362	99			6981.2867636
97.84615	0.0	0.0	-0.198	99			6981.3093064
97.75824	0.0	0.0	-0.346	99			6981.326811
97.84615	0.0	0.0	-0.087	99			6981.3467836
97.84615	0.0	0.0	0.5	99			6981.3673107
97.84615	0.0	0.0	0.494	99			6981.3872672
97.84615	0.0	0.0	0.431	99			6981.4102384
97.75824	0.0	0.0	0.388	99			6981.4267
97.84615	0.0	0.0	-0.045	99			6981.4470651
97.84615	0.0	0.0	-0.146	99			6981.4690224
97.84615	0.0	0.0	-0.414	99			6981.4866
97.75824	0.0	0.0	-0.271	99			6981.5079292
97.84615	0.0	0.0	0.297	99			6981.5264848
97.84615	0.0	0.0	-0.196	99			6981.5463644
97.84615	0.0	0.0	0.233	99			6981.5663133
97.84615	0.0	0.0	0.047	99			6981.5862026
97.84615	0.0	0.0	-0.2	99			6981.6109453
97.75824	0.0	0.0	0.405	99			6981.6297192
97.84615	0.0	0.0	0.124	99			6981.6469513
97.84615	0.0	0.0	-0.23	99			6981.6680518
97.84615	0.0	0.0	0.352	99			6981.686424
97.84615	0.0	0.0	-0.309	99			6981.7101396
97.84615	0.0	0.0	-0.126	99			6981.7335076
97.84615	0.0	0.0	-0.497	99			6981.7521764
97.84615	0.0	0.0	0.207	99			6981.7702401
97.75824	0.0	0.0	-0.115	99			6981.7894121
97.75824	0.0	0.0	0.095	99			6981.8104079
97.84615	0.0	0.0	0.001	99			6981.828709
97.84615	0.0	0.0	0.14	99			6981.8465434
97.84615	0.0	0.0	0.288	99			6981.8663506
97.75824	0.0	0.0	-0.081	99			6981.8861907
97.84615	0.0	0.0	0.329	99			6981.9082538
97.84615	0.0	0.0	0.04	99			6981.9269063
97.84615	0.0	0.0	0.48	99			6981.9468293
97.75824	0.0	0.0	0.17	99			6981.966232
97.84615	0.0	0.0	0.255	99			6981.986348
97.75824	0.0	0.0	0.397	99			6982.0070698
97.84615	0.0	0.0	-0.395	99			6982.0288517
97.84615	0.0	0.0	0.138	99			6982.0466377
97.84615	0.0	0.0	-0.244	99			6982.0664259
97.84615	0.0	0.0	-0.039	99			6982.0864106
97.84615	0.0	0.0	0.128	99			6982.1081785
97.75824	0.0	0.0	-0.281	99			6982.1284889
97.84615	0.0	0.0	0.026	99			6982.1481715
97.84615	0.0	0.0	0.449	99			6982.1662837
97.84615	0.0	0.0	0.095	99			6982.1883252
97.84615	0.0	0.0	0.385	99			6982.2062974
97.84615	0.0	0.0	-0.476	99			6982.2272974
97.84615	0.0	0.0	-0.265	99			6982.2462857
97.84615	0.0	0.0	0.013	99			6982.2665356
97.84615	0.0	0.0	-0.223	99			6982.2877885
97.84615	0.0	0.0	-0.427	99			6982.3102598
97.84615	0.0	0.0	0.193	99			6982.3292555
97.75824	0.0	0.0	0.265	99			6982.3466007
97.84615	0.0	0.0	0.104	99			6982.3682932
97.84615	0.0	0.0	-0.212	99			6982.3871213
97.84615	0.0	0.0	0.182	99			6982.4064915
97.84615	0.0	0.0	-0.259	99			6982.4268778
97.84615	0.0	0.0	-0.212	99			6982.4477995
97.75824	0.0	0.0	0.466	99			6982.4664789
97.84615	0.0	0.0	-0.382	99			6982.4861713
97.75824	0.0	0.0	-0.174	99			6982.5064301
97.84615	0.0	0.0	-0.3	99			6983.2972652
97.84615	0.0	0.0	-0.23	99			6983.3074248
97.84615	0.0	0.0	0.29	99			6983.3303024
97.84615	0.0	0.0	-0.157	99			6983.3474864
97.84615	0.0	0.0	-0.125	99			6983.3661795
97.84615	0.0	0.0	-0.378	99			6983.3862334
97.84615	0.0	0.0	-0.408	99			6983.4062982
97.84615	0.0	0.0	0.309	99			6983.4279285
97.84615	0.0	0.0	-0.085	99			6983.4482033
97.84615	0.0	0.0	0.288	99			6983.4677482
97.75824	0.0	0.0	-0.444	99			6983.4864557
97.84615	0.0	0.0	0.244	99			6983.5063461
97.75824	0.0	0.0	-0.427	99			6983.5280457
97.84615	0.0	0.0	0.306	99			6983.5463274
97.84615	0.0	0.0	0.221	99			6983.5662011
97.84615	0.0	0.0	0.275	99			6983.586724
97.84615	0.0	0.0	0.4	99			6983.6062036
97.84615	0.0	0.0	0.277	99			6983.6277169
97.84615	0.0	0.0	-0.094	99			6983.6466295
97.75824	0.0	0.0	-0.272	99			6983.6670091
97.84615	0.0	0.0	0.132	99			6983.6863123
97.84615	0.0	0.0	-0.431	99			6983.7067755
97.84615	0.0	0.0	-0.412	99			6983.7278539
97.84615	0.0	0.0	0.108	99			6983.7462954
97.84615	0.0	0.0	0.316	99			6983.7662032
97.84615	0.0	0.0	-0.232	99			6983.7861543
97.84615	0.0	0.0	0.074	99			6983.809158
97.84615	0.0	0.0	0.362	99			6983.8307704
97.84615	0.0	0.0	0.383	99			6983.8478708
97.84615	0.0	0.0	0.402	99			6983.8663037
97.84615	0.0	0.0	0.011	99			6983.8861486
97.84615	0.0	0.0	-0.303	99			6983.9062191
97.84615	0.0	0.0	0.183	99			6983.9278698
97.84615	0.0	0.0	-0.17	99			6983.9470929
97.84615	0.0	0.0	-0.435	99			6983.96844
97.84615	0.0	0.0	0.292	99			6983.9862582
97.84615	0.0	0.0	-0.035	99			6984.0061927
97.84615	0.0	0.0	-0.163	99			6984.0280809
97.84615	0.0	0.0	0.305	99			6984.0463185
97.75824	0.0	0.0	0.449	99			6984.069798
97.84615	0.0	0.0	-0.186	99			6984.0862397
97.84615	0.0	0.0	0.204	99			6984.1061132
97.84615	0.0	0.0	0.008	99			6984.1279654
97.84615	0.0	0.0	0.196	99			6984.1463872
97.84615	0.0	0.0	-0.41	99			6984.1663359
97.84615	0.0	0.0	-0.26	99			6984.1862079
97.84615	0.0	0.0	0.252	99			6984.2063729
97.84615	0.0	0.0	-0.066	99			6984.228329
97.84615	0.0	0.0	0.007	99			6984.2462299
97.84615	0.0	0.0	-0.478	99			6984.2666489
97.84615	0.0	0.0	-0.12	99			6984.2861925
97.84615	0.0	0.0	0.406	99			6984.3074283
97.75824	0.0	0.0	-0.166	99			6984.3293885
97.84615	0.0	0.0	0.287	99			6984.3480131
97.84615	0.0	0.0	-0.017	99			6984.3659876
97.75824	0.0	0.0	0.119	99			6984.386115
97.84615	0.0	0.0	-0.153	99			6984.4065282
97.84615	0.0	0.0	-0.48	99			6984.4283528
97.84615	0.0	0.0	-0.017	99			6984.4464914
97.84615	0.0	0.0	0.093	99			6984.4663318
97.84615	0.0	0.0	0.407	99			6984.4862405
97.75824	0.0	0.0	0.23	99			6984.5063706
97.75824	0.0	0.0	-0.122	99			6984.5280219
97.84615	0.0	0.0	-0.317	99			6984.5483359
97.84615	0.0	0.0	-0.408	99			6984.5663269
97.84615	0.0	0.0	-0.165	99			6984.5861766
97.84615	0.0	0.0	0.181	99			6984.6061509
97.84615	0.0	0.0	0.084	99			6984.6280769
97.84615	0.0	0.0	0.056	99			6984.6464757
97.84615	0.0	0.0	0.398	99			6984.6666739
97.84615	0.0	0.0	0.365	99			6984.6860879
97.84615	0.0	0.0	-0.123	99			6984.7063763
97.84615	0.0	0.0	0.447	99			6984.7282024
97.84615	0.0	0.0	0.384	99			6984.7461645
97.75824	0.0	0.0	-0.295	99			6984.766277
97.84615	0.0	0.0	-0.051	99			6984.7862082
97.84615	0.0	0.0	-0.009	99			6984.8069805
97.75824	0.0	0.0	0.065	99			6984.8295586
97.84615	0.0	0.0	-0.242	99			6984.848635
97.75824	0.0	0.0	0.359	99			6984.8688446
97.75824	0.0	0.0	0.047	99			6984.8899619
97.84615	0.0	0.0	0.125	99			6984.9064034
97.84615	0.0	0.0	-0.209	99			6984.9280539
97.84615	0.0	0.0	-0.397	99			6984.9486641
97.84615	0.0	0.0	-0.283	99			6984.9660321
97.84615	0.0	0.0	0.166	99			6984.9918846
97.84615	0.0	0.0	0.166	99			6985.0083474
97.84615	0.0	0.0	0.445	99			6985.0280316
98.02198	0.0	0.02398	0.226	99			6985.0463158
98.37363	0.0	0.09592	-0.243	99			6985.0663013
98.63736	0.0	0.19185	-0.444	99			6985.0861851
99.16483	0.0	0.28777	-0.133	99			6985.1069987
99.69231	0.0	0.35971	0.42	99			6985.1285488
100.21978	0.0	0.40767	0.136	99			6985.1462389
100.74725	0.0	0.43165	0.392	99			6985.1662421
101.36264	0.0	0.45564	0.403	99			6985.1875094
102.06593	0.0	0.5036	0.494	99			6985.2062396
102.85714	0.0	0.55156	0.438	99			6985.2282273
103.73627	0.0	0.6235	0.253	99			6985.2462956
104.7033	0.0	0.71942	-0.377	99			6985.2664082
105.93407	0.0	0.81535	-0.43	99			6985.289425
107.16483	0.0	0.91127	-0.303	99			6985.3120832
108.39561	0.0	0.98321	0.112	99			6985.3299559
109.62637	0.0	1.03118	0.045	99			6985.34741
110.59341	0.0	1.03118	-0.295	99			6985.3674836
111.64835	0.0	1.00719	-0.381	99			6985.3863293
112.7033	0.0	0.95923	0.364	99			6985.406103
113.67033	0.0	0.91127	-0.378	99			6985.4281294
114.63736	0.0	0.86331	-0.315	99			6985.4462432
115.42857	0.0	0.81535	0.209	99			6985.4662877
116.13187	0.0	0.76739	-0.056	99			6985.4860974
116.74725	0.0	0.67146	0.049	99			6985.5061369
117.0989	0.0	0.52758	-0.45	99			6985.5274496
117.27473	0.0	0.38369	-0.138	99			6985.5466992
117.27473	0.0	0.23981	0.338	99			6985.5663532
117.27473	0.0	0.1199	0.067	99			6985.5861256
117.18681	0.0	0.04796	0.456	99			6985.6061047
117.18681	0.0	0.0	-0.155	99			6985.6266777
117.27473	0.0	0.0	0.448	99			6985.6461609
117.27473	0.0	0.0	-0.063	99			6985.6690792
117.27473	0.0	0.0	0.219	99			6985.6880943
117.18681	0.0	0.0	-0.462	99			6985.7066631
117.27473	0.0	0.0	0.096	99			6985.7286367
117.27473	0.0	0.0	-0.353	99			6985.7461902
117.27473	0.0	0.0	-0.359	99			6985.7673966
117.18681	0.0	0.0	0.005	99			6985.786308
117.27473	0.0	0.0	0.357	99			6985.8094748
117.27473	0.0	0.0	-0.217	99			6985.8269589
117.27473	0.0	0.0	-0.239	99			6985.8490771
117.27473	0.0	0.0	-0.256	99			6985.8660865
117.27473	0.0	0.0	-0.415	99			6985.886042
117.27473	0.0	0.0	0.33	99			6985.9067491
117.18681	0.0	0.0	0.01	99			6985.9265099
117.27473	0.0	0.0	-0.411	99			6985.9471755
117.27473	0.0	0.0	-0.465	99			6985.966453
117.27473	0.0	0.0	-0.298	99			6985.9873322
117.27473	0.0	0.0	0.107	99			6986.0063376
117.27473	0.0	0.0	0.091	99			6986.0288502
117.27473	0.0	0.0	0.004	99			6986.0463114
117.18681	0.0	0.0	-0.475	99			6986.0672748
117.27473	0.0	0.0	0.206	99			6986.0884592
117.27473	0.0	0.0	-0.174	99			6986.1066909
117.27473	0.0	0.0	0.016	99			6986.1293662
117.27473	0.0	0.0	-0.42	99			6986.1535817
117.27473	0.0	0.0	-0.311	99			6986.1704256
117.27473	0.0	0.0	-0.301	99			6986.1874648
117.27473	0.0	0.0	-0.148	99			6986.2130531
117.27473	0.0	0.0	0.294	99			6986.2289832
117.27473	0.0	0.0	0.21	99			6986.2479279
117.27473	0.0	0.0	0.103	99			6986.2670987
117.27473	0.0	0.0	-0.353	99			6986.287582
117.27473	0.0	0.0	0.022	99			6986.3073412
117.27473	0.0	0.0	0.34	99			6986.3263597
117.27473	0.0	0.0	-0.005	99			6986.3496362
117.27473	0.0	0.0	-0.072	99			6986.3662664
117.27473	0.0	0.0	0.257	99			6986.3864985
117.27473	0.0	0.0	-0.156	99			6986.4075702
117.27473	0.0	0.0	-0.173	99			6986.4261662
117.27473	0.0	0.0	-0.178	99			6986.4463955
117.27473	0.0	0.0	0.074	99			6986.4668291
117.18681	0.0	0.0	-0.189	99			6986.4864476
117.27473	0.0	0.0	-0.37	99			6986.5069503
117.27473	0.0	0.0	0.077	99			6986.5301697
